Departure station,Latitude,Longitude 
0173 Columbia & 1st,49.27018642,-123.1096029
0064 Expo & Smithe,49.28101844,-123.114496
0045 Beach & Hornby,49.27526797,-123.1325667
0027 Beatty & Nelson,49.27568088,-123.1171113
0028 Davie & Beach,49.28766794,-123.1422034
0082 Richards & Davie,49.27636297,-123.1238889
0217 Smithe & Burrard,49.28352744,-123.1251812
0004 Yaletown-Roundhouse Station,49.27469191,-123.1218385
0122 Haro & Denman,49.2906068,-123.1374353
0005 Dunsmuir & Beatty,49.27991096,-123.1101111
0076 Cypress & 4th,49.2684649,-123.1478956
0015 Granville & Georgia,49.28252796,-123.1184552
0030 Abbott & Cordova,49.28286396,-123.1069551
0008 8th & Ash,49.26441802,-123.1177827
0063 Robson & Granville,49.28160396,-123.120101
0084 Beach & Broughton,,
0253 Charles & Woodland,49.27327498,-123.0732644
0036 Bute & Robson,49.28596065,-123.1273039
0148 Creekside Park North,49.27579597,-123.1026503
0010 Stamps Landing,49.26877579,-123.1182169
0002 Burrard Station (Melville & Dunsmuir),49.28606693,-123.1211145
0187 Bute & Davie,49.28236395,-123.132778
0011 Ontario & Seawall,49.27191699,-123.1042178
0019 Robson & Hornby,49.28292595,-123.1220813
0212 Union & Dunlevy,49.27767427,-123.0956638
0242 8th & Commercial,49.26338901,-123.0705639
0190 Melville & Bute,49.28792194,-123.1239393
0039 Helmcken & Burrard,49.28004519,-123.1276006
0531 18th & Cambie,,
0201 Shaw Tower,49.28969892,-123.1190933
0225 McLean & Pender,49.28037296,-123.0742598
0161 Alexander & Dunlevy,49.28419495,-123.095097
0150 Alexander & Main,49.28402344,-123.1009207
0040 Cardero & Davie,49.28606764,-123.1377932
0075 Arbutus & 10th,,
0193 Science World,49.27385898,-123.1022213
0354 Station & Terminal,,
0213 Pender & Gore,49.28045196,-123.0970843
0313 Nelson & Denman,49.29017994,-123.1375425
0123 Georgia & Thurlow,49.28608874,-123.1241328
0014 Canada Place,49.28736094,-123.1128915
0069 7th & Granville,49.26564037,-123.138133
0561 20th & Main,49.25326701,-123.1007781
0199 Georgia & Main,49.27868998,-123.0999955
0050 Bute & Comox,49.28350395,-123.1310991
0136 David Lam Park - West,49.27104499,-123.1260167
0107 8th & Ontario,49.26399101,-123.1051837
