date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2022-12-09,3.86,4.03,450,"1992-12-02 2021-12-16",94.04,7.09,450,"1992-12-02 2021-12-16",6.93,2.92,450,"1992-12-02 2021-12-16",25.37,12.49,450,"1992-12-02 2021-12-16",-0.38,4.82,450,"1992-12-02 2021-12-16",73.31,13.73,450,"1992-12-02 2021-12-16",1.35,3.68,450,"1992-12-02 2021-12-16",3.91,4.49,450,"1992-12-02 2021-12-16",5.64,8.64,444,"1992-12-02 2021-12-16",5.49,8.57,436,"1992-12-02 2021-12-16",0.16,0.99,436,"1992-12-02 2021-12-16",0.2,1.06,362,"1992-12-02 2021-12-06",,,,
2022-12-08,3.87,4,450,"1992-12-01 2021-12-15",94.07,7.08,450,"1992-12-01 2021-12-15",6.94,2.9,450,"1992-12-01 2021-12-15",25.54,12.62,450,"1992-12-01 2021-12-15",-0.36,4.75,450,"1992-12-01 2021-12-15",73.36,13.64,450,"1992-12-01 2021-12-15",1.36,3.65,450,"1992-12-01 2021-12-15",3.79,4.44,450,"1992-12-01 2021-12-15",5.55,8.47,443,"1992-12-01 2021-12-15",5.44,8.47,434,"1992-12-01 2021-12-15",0.14,0.86,434,"1992-12-01 2021-12-15",0.2,1.16,361,"1992-12-01 2021-12-06",,,,
2022-12-07,3.97,3.98,450,"1992-11-30 2021-12-14",94.18,6.83,450,"1992-11-30 2021-12-14",7,2.92,450,"1992-11-30 2021-12-14",25.21,12.35,450,"1992-11-30 2021-12-14",-0.26,4.76,450,"1992-11-30 2021-12-14",73.69,13.61,450,"1992-11-30 2021-12-14",1.44,3.73,450,"1992-11-30 2021-12-14",3.82,4.48,450,"1992-11-30 2021-12-14",5.53,8.27,443,"1992-11-30 2021-12-14",5.41,8.26,435,"1992-11-30 2021-12-14",0.14,0.87,435,"1992-11-30 2021-12-14",0.3,1.63,360,"1992-11-30 2021-12-06",,,,
2022-12-06,4.05,4,450,"1992-11-29 2021-12-13",94.27,6.86,450,"1992-11-29 2021-12-13",7.05,2.92,450,"1992-11-29 2021-12-13",25.11,12.07,450,"1992-11-29 2021-12-13",-0.19,4.82,450,"1992-11-29 2021-12-13",73.87,13.66,450,"1992-11-29 2021-12-13",1.49,3.8,450,"1992-11-29 2021-12-13",3.85,4.5,450,"1992-11-29 2021-12-13",5.69,8.5,443,"1992-11-29 2021-12-13",5.56,8.49,435,"1992-11-29 2021-12-13",0.14,0.79,435,"1992-11-29 2021-12-13",0.3,1.69,360,"1992-11-29 2021-12-06",,,,
2022-12-05,4.08,4.08,450,"1992-11-28 2021-12-12",94.3,6.88,450,"1992-11-28 2021-12-12",7.1,2.96,450,"1992-11-28 2021-12-12",24.92,11.85,450,"1992-11-28 2021-12-12",-0.14,4.89,450,"1992-11-28 2021-12-12",73.94,13.88,450,"1992-11-28 2021-12-12",1.49,3.84,450,"1992-11-28 2021-12-12",3.78,4.49,450,"1992-11-28 2021-12-12",5.6,8.43,443,"1992-11-28 2021-12-12",5.46,8.42,435,"1992-11-28 2021-12-12",0.13,0.79,435,"1992-11-28 2021-12-12",0.3,1.91,359,"1992-11-28 2021-12-06",,,,
2022-12-04,4.14,4.11,450,"1992-11-27 2021-12-11",94.18,7.3,450,"1992-11-27 2021-12-11",7.17,2.97,450,"1992-11-27 2021-12-11",24.86,11.78,450,"1992-11-27 2021-12-11",-0.06,4.94,450,"1992-11-27 2021-12-11",73.88,14,450,"1992-11-27 2021-12-11",1.59,3.86,450,"1992-11-27 2021-12-11",3.87,4.49,450,"1992-11-27 2021-12-11",5.5,8.44,444,"1992-11-27 2021-12-11",5.37,8.44,435,"1992-11-27 2021-12-11",0.14,0.84,436,"1992-11-27 2021-12-11",0.4,2.06,360,"1992-11-27 2021-12-06",,,,
2022-12-03,4.19,4.09,450,"1992-11-26 2021-12-10",94.26,7.16,450,"1992-11-26 2021-12-10",7.2,2.95,450,"1992-11-26 2021-12-10",24.68,11.62,450,"1992-11-26 2021-12-10",-0.06,4.92,450,"1992-11-26 2021-12-10",73.86,14.11,450,"1992-11-26 2021-12-10",1.56,3.86,450,"1992-11-26 2021-12-10",3.79,4.5,450,"1992-11-26 2021-12-10",5.54,8.61,444,"1992-11-26 2021-12-10",5.36,8.58,435,"1992-11-26 2021-12-10",0.19,1.21,436,"1992-11-26 2021-12-10",0.4,2.06,360,"1992-11-26 2021-12-06",,,,
2022-12-02,4.2,4.04,450,"1992-11-25 2021-12-09",94.28,7.07,450,"1992-11-25 2021-12-09",7.25,2.88,450,"1992-11-25 2021-12-09",24.7,11.57,450,"1992-11-25 2021-12-09",-0.06,4.91,450,"1992-11-25 2021-12-09",73.5,13.95,450,"1992-11-25 2021-12-09",1.59,3.88,450,"1992-11-25 2021-12-09",3.83,4.55,450,"1992-11-25 2021-12-09",5.51,8.66,444,"1992-11-25 2021-12-09",5.29,8.63,435,"1992-11-25 2021-12-09",0.21,1.3,436,"1992-11-25 2021-12-09",0.3,2.05,359,"1992-11-25 2021-12-06",,,,
2022-12-01,4.28,4.05,450,"1992-11-24 2021-12-08",94.18,7.15,450,"1992-11-24 2021-12-08",7.36,2.84,450,"1992-11-24 2021-12-08",24.83,11.68,450,"1992-11-24 2021-12-08",0.03,4.89,450,"1992-11-24 2021-12-08",73.43,13.82,450,"1992-11-24 2021-12-08",1.67,3.92,450,"1992-11-24 2021-12-08",3.83,4.57,450,"1992-11-24 2021-12-08",5.47,8.65,444,"1992-11-24 2021-12-08",5.27,8.62,435,"1992-11-24 2021-12-08",0.2,1.28,436,"1992-11-24 2021-12-08",0.4,2.05,358,"1992-11-24 2021-12-06",,,,
2022-11-30,4.37,4,450,"1992-11-23 2021-12-07",94.21,7.02,450,"1992-11-23 2021-12-07",7.44,2.85,450,"1992-11-23 2021-12-07",24.9,11.6,450,"1992-11-23 2021-12-07",0.11,4.93,450,"1992-11-23 2021-12-07",73.46,13.63,450,"1992-11-23 2021-12-07",1.77,3.95,450,"1992-11-23 2021-12-07",3.9,4.58,450,"1992-11-23 2021-12-07",5.45,8.57,444,"1992-11-23 2021-12-07",5.27,8.54,436,"1992-11-23 2021-12-07",0.2,1.28,437,"1992-11-23 2021-12-07",0.4,2.05,358,"1992-11-23 2021-12-06",,,,
